Wall time,Step,Value
1777843564.8996289,1000,-63.099632263183594
1777843571.4393694,1500,-63.099632263183594
1777843577.502863,2000,-75.11894989013672
1777843583.2620993,2500,-75.11894989013672
1777843588.9247215,3000,-81.31619262695312
1777843594.6664183,3500,-81.31619262695312
1777843600.6734512,4000,-84.4343490600586
1777843606.4332423,4500,-84.4343490600586
1777843612.102274,5000,-85.83074188232422
1777843617.7927318,5500,-85.83074188232422
1777843623.466168,6000,-86.90528106689453
1777843629.4221077,6500,-86.90528106689453
1777843635.8707461,7000,-87.90752410888672
1777843642.1508358,7500,-87.90752410888672
1777843648.0334904,8000,-88.59127044677734
1777843653.9597535,8500,-88.59127044677734
1777843659.75236,9000,-89.02033233642578
1777843665.6325753,9500,-89.02033233642578
1777843671.5866952,10000,-89.37203216552734
