Wall time,Step,Value
1777846699.8746026,1000,-94.25287628173828
1777846708.658006,1500,-94.25287628173828
1777846717.2897909,2000,-93.42273712158203
1777846726.1161528,2500,-93.42273712158203
1777846734.6053336,3000,-93.385498046875
1777846743.5025237,3500,-93.385498046875
1777846752.3547618,4000,-93.13072967529297
1777846761.3354855,4500,-93.13072967529297
1777846770.3827653,5000,-93.09115600585938
1777846779.359625,5500,-93.09115600585938
1777846788.3294992,6000,-93.05638885498047
1777846797.3790693,6500,-93.05638885498047
1777846806.381343,7000,-93.03155517578125
1777846815.2622714,7500,-93.03155517578125
1777846824.0144527,8000,-92.8012924194336
1777846833.0318272,8500,-92.8012924194336
1777846841.8974795,9000,-92.84271240234375
1777846851.0027232,9500,-92.84271240234375
1777846860.0985594,10000,-92.94305419921875
